Location,Sex or gender,Age at divorce,Indicator,Unit Of Measure,VALUE
Ontario,Females,55 to 59 years,Number of divorces,Number,483.0
Ontario,Females,60 to 64 years,Number of divorces,Number,219.0
Ontario,Females,65 years and over,Number of divorces,Number,147.0
Ontario,Both sexes,All ages,Number of divorces,Number,37311.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,126.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3459.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9147.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,7536.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,5199.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4074.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3132.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2280.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1206.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,639.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,513.0
Ontario,Males,All ages,Number of divorces,Number,18657.0
Ontario,Males,Under 20 years,Number of divorces,Number,12.0
Ontario,Males,20 to 24 years,Number of divorces,Number,1092.0
Ontario,Males,25 to 29 years,Number of divorces,Number,4197.0
Ontario,Males,30 to 34 years,Number of divorces,Number,3954.0
Ontario,Males,35 to 39 years,Number of divorces,Number,2751.0
Ontario,Males,40 to 44 years,Number of divorces,Number,2223.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1728.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1272.0
Ontario,Males,55 to 59 years,Number of divorces,Number,690.0
Ontario,Males,60 to 64 years,Number of divorces,Number,405.0
Ontario,Males,65 years and over,Number of divorces,Number,333.0
Ontario,Females,All ages,Number of divorces,Number,18654.0
Ontario,Females,Under 20 years,Number of divorces,Number,114.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2367.0
Ontario,Females,25 to 29 years,Number of divorces,Number,4950.0
Ontario,Females,30 to 34 years,Number of divorces,Number,3582.0
Ontario,Females,35 to 39 years,Number of divorces,Number,2448.0
