Location,Sex or gender,Age at divorce,Indicator,Unit Of Measure,VALUE
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.4
Ontario,Females,60 to 64 years,Number of divorces,Number,414.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.4
Ontario,Females,65 years and over,Number of divorces,Number,339.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",0.9
Ontario,Both sexes,All ages,Number of divorces,Number,53340.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",10.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,27.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",9.5
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1392.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.6
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,5400.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",18.7
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,9066.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",16.8
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,10833.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",14.9
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,9834.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.3
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,7272.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,4965.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.2
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,2466.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.4
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,1110.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,975.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.1
Ontario,Males,All ages,Number of divorces,Number,26670.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",10.0
Ontario,Males,Under 20 years,Number of divorces,Number,3.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",5.1
Ontario,Males,20 to 24 years,Number of divorces,Number,420.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",23.3
Ontario,Males,25 to 29 years,Number of divorces,Number,2139.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",18.6
Ontario,Males,30 to 34 years,Number of divorces,Number,4176.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",17.0
Ontario,Males,35 to 39 years,Number of divorces,Number,5361.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.3
Ontario,Males,40 to 44 years,Number of divorces,Number,5046.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.9
Ontario,Males,45 to 49 years,Number of divorces,Number,3843.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.6
Ontario,Males,50 to 54 years,Number of divorces,Number,2835.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",9.2
Ontario,Males,55 to 59 years,Number of divorces,Number,1497.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",6.2
Ontario,Males,60 to 64 years,Number of divorces,Number,699.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.6
Ontario,Males,65 years and over,Number of divorces,Number,651.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Females,All ages,Number of divorces,Number,26670.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",10.0
Ontario,Females,Under 20 years,Number of divorces,Number,24.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",10.6
Ontario,Females,20 to 24 years,Number of divorces,Number,972.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.4
Ontario,Females,25 to 29 years,Number of divorces,Number,3261.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",18.8
Ontario,Females,30 to 34 years,Number of divorces,Number,4890.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",16.7
Ontario,Females,35 to 39 years,Number of divorces,Number,5472.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",14.6
Ontario,Females,40 to 44 years,Number of divorces,Number,4788.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",12.8
Ontario,Females,45 to 49 years,Number of divorces,Number,3429.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Females,50 to 54 years,Number of divorces,Number,2130.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.2
Ontario,Females,55 to 59 years,Number of divorces,Number,969.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.4
Ontario,Females,60 to 64 years,Number of divorces,Number,411.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.3
Ontario,Females,65 years and over,Number of divorces,Number,324.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",0.9
Ontario,Both sexes,All ages,Number of divorces,Number,52710.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",9.7
Ontario,Both sexes,Under 20 years,Number of divorces,Number,15.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",5.4
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1401.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.6
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,5130.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",17.9
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,8766.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",16.3
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,10452.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",14.6
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,9795.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,7479.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,4803.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.9
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,2643.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.3
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,1230.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.2
Ontario,Both sexes,65 years and over,Number of divorces,Number,996.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.1
Ontario,Males,All ages,Number of divorces,Number,26355.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",9.7
Ontario,Males,Under 20 years,Number of divorces,Number,3.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",5.5
Ontario,Males,20 to 24 years,Number of divorces,Number,393.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.4
Ontario,Males,25 to 29 years,Number of divorces,Number,2052.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",17.9
Ontario,Males,30 to 34 years,Number of divorces,Number,4065.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",16.4
Ontario,Males,35 to 39 years,Number of divorces,Number,5190.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.0
Ontario,Males,40 to 44 years,Number of divorces,Number,4980.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.4
Ontario,Males,45 to 49 years,Number of divorces,Number,3963.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.7
Ontario,Males,50 to 54 years,Number of divorces,Number,2670.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.7
Ontario,Males,55 to 59 years,Number of divorces,Number,1596.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",6.2
Ontario,Males,60 to 64 years,Number of divorces,Number,795.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",4.0
Ontario,Males,65 years and over,Number of divorces,Number,648.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Females,All ages,Number of divorces,Number,26355.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",9.7
Ontario,Females,Under 20 years,Number of divorces,Number,12.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",5.4
Ontario,Females,20 to 24 years,Number of divorces,Number,1008.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.7
Ontario,Females,25 to 29 years,Number of divorces,Number,3078.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",17.9
Ontario,Females,30 to 34 years,Number of divorces,Number,4701.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",16.1
Ontario,Females,35 to 39 years,Number of divorces,Number,5262.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",14.2
Ontario,Females,40 to 44 years,Number of divorces,Number,4815.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",12.7
Ontario,Females,45 to 49 years,Number of divorces,Number,3516.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Females,50 to 54 years,Number of divorces,Number,2133.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.2
Ontario,Females,55 to 59 years,Number of divorces,Number,1047.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.4
Ontario,Females,60 to 64 years,Number of divorces,Number,435.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.4
Ontario,Females,65 years and over,Number of divorces,Number,348.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",0.9
Ontario,Both sexes,All ages,Number of divorces,Number,55239.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",10.1
Ontario,Both sexes,Under 20 years,Number of divorces,Number,18.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",6.7
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1365.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",21.7
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,5487.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",19.3
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,9174.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",17.2
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,10620.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.3
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,10413.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.6
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,7935.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.4
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,5103.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.4
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,2844.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.4
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,1281.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.2
Ontario,Both sexes,65 years and over,Number of divorces,Number,999.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.1
Ontario,Males,All ages,Number of divorces,Number,27618.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",10.1
Ontario,Males,Under 20 years,Number of divorces,Number,3.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",6.0
Ontario,Males,20 to 24 years,Number of divorces,Number,357.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",20.7
Ontario,Males,25 to 29 years,Number of divorces,Number,2181.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",19.1
Ontario,Males,30 to 34 years,Number of divorces,Number,4236.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",17.2
Ontario,Males,35 to 39 years,Number of divorces,Number,5244.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.6
Ontario,Males,40 to 44 years,Number of divorces,Number,5331.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",14.0
Ontario,Males,45 to 49 years,Number of divorces,Number,4179.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Males,50 to 54 years,Number of divorces,Number,2895.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",9.4
Ontario,Males,55 to 59 years,Number of divorces,Number,1707.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",6.3
Ontario,Males,60 to 64 years,Number of divorces,Number,816.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.9
Ontario,Males,65 years and over,Number of divorces,Number,669.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Females,All ages,Number of divorces,Number,27621.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",10.1
Ontario,Females,Under 20 years,Number of divorces,Number,15.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",6.9
Ontario,Females,20 to 24 years,Number of divorces,Number,1008.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.1
Ontario,Females,25 to 29 years,Number of divorces,Number,3306.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",19.5
Ontario,Females,30 to 34 years,Number of divorces,Number,4938.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",17.1
Ontario,Females,35 to 39 years,Number of divorces,Number,5376.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.0
Ontario,Females,40 to 44 years,Number of divorces,Number,5082.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.2
Ontario,Females,45 to 49 years,Number of divorces,Number,3756.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",10.7
Ontario,Females,50 to 54 years,Number of divorces,Number,2208.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.3
Ontario,Females,55 to 59 years,Number of divorces,Number,1137.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.5
Ontario,Females,60 to 64 years,Number of divorces,Number,465.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.5
Ontario,Females,65 years and over,Number of divorces,Number,330.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",0.8
Ontario,Both sexes,All ages,Number of divorces,Number,52956.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",9.5
Ontario,Both sexes,Under 20 years,Number of divorces,Number,12.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",4.6
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1383.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",21.7
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,5007.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",17.7
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,8163.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",15.5
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,9567.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",14.2
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,10167.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,7971.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.2
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,5226.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.4
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,3042.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.6
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,1380.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.4
Ontario,Both sexes,65 years and over,Number of divorces,Number,1038.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.1
Ontario,Males,All ages,Number of divorces,Number,26478.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",9.5
Ontario,Males,Under 20 years,Number of divorces,Number,0.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",0.0
Ontario,Males,20 to 24 years,Number of divorces,Number,390.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",23.1
Ontario,Males,25 to 29 years,Number of divorces,Number,1974.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",17.2
Ontario,Males,30 to 34 years,Number of divorces,Number,3789.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",15.6
Ontario,Males,35 to 39 years,Number of divorces,Number,4740.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",14.6
Ontario,Males,40 to 44 years,Number of divorces,Number,5151.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.3
Ontario,Males,45 to 49 years,Number of divorces,Number,4158.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.7
Ontario,Males,50 to 54 years,Number of divorces,Number,2901.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",9.2
Ontario,Males,55 to 59 years,Number of divorces,Number,1815.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",6.4
Ontario,Males,60 to 64 years,Number of divorces,Number,867.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",4.0
Ontario,Males,65 years and over,Number of divorces,Number,693.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Females,All ages,Number of divorces,Number,26478.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",9.5
Ontario,Females,Under 20 years,Number of divorces,Number,12.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",5.6
Ontario,Females,20 to 24 years,Number of divorces,Number,993.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",21.2
Ontario,Females,25 to 29 years,Number of divorces,Number,3033.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",18.0
Ontario,Females,30 to 34 years,Number of divorces,Number,4374.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",15.4
Ontario,Females,35 to 39 years,Number of divorces,Number,4827.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",13.9
Ontario,Females,40 to 44 years,Number of divorces,Number,5016.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",12.8
Ontario,Females,45 to 49 years,Number of divorces,Number,3813.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",10.7
Ontario,Females,50 to 54 years,Number of divorces,Number,2325.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",7.5
Ontario,Females,55 to 59 years,Number of divorces,Number,1227.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",4.7
Ontario,Females,60 to 64 years,Number of divorces,Number,513.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.6
Ontario,Females,65 years and over,Number of divorces,Number,345.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",0.8
Ontario,Both sexes,All ages,Number of divorces,Number,57906.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Both sexes,Under 20 years,Number of divorces,Number,15.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",6.1
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1455.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.7
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,5502.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",19.6
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,8787.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",16.9
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,10125.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.5
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,11019.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",14.1
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,8733.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",12.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,5907.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",9.2
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,3609.0
Ontario,Both sexes,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",6.4
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,1518.0
Ontario,Both sexes,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",3.6
Ontario,Both sexes,65 years and over,Number of divorces,Number,1236.0
Ontario,Both sexes,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.3
Ontario,Males,All ages,Number of divorces,Number,28953.0
Ontario,Males,All ages,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Males,Under 20 years,Number of divorces,Number,0.0
Ontario,Males,Under 20 years,Divorce rate,"Rate per 1,000 married persons",0.0
Ontario,Males,20 to 24 years,Number of divorces,Number,405.0
Ontario,Males,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",24.8
Ontario,Males,25 to 29 years,Number of divorces,Number,2166.0
Ontario,Males,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",19.0
Ontario,Males,30 to 34 years,Number of divorces,Number,4110.0
Ontario,Males,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",17.3
Ontario,Males,35 to 39 years,Number of divorces,Number,4986.0
Ontario,Males,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.8
Ontario,Males,40 to 44 years,Number of divorces,Number,5547.0
Ontario,Males,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",14.3
Ontario,Males,45 to 49 years,Number of divorces,Number,4536.0
Ontario,Males,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",12.5
Ontario,Males,50 to 54 years,Number of divorces,Number,3318.0
Ontario,Males,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Males,55 to 59 years,Number of divorces,Number,2094.0
Ontario,Males,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",7.2
Ontario,Males,60 to 64 years,Number of divorces,Number,954.0
Ontario,Males,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",4.3
Ontario,Males,65 years and over,Number of divorces,Number,837.0
Ontario,Males,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.6
Ontario,Females,All ages,Number of divorces,Number,28953.0
Ontario,Females,All ages,Divorce rate,"Rate per 1,000 married persons",10.3
Ontario,Females,Under 20 years,Number of divorces,Number,15.0
Ontario,Females,Under 20 years,Divorce rate,"Rate per 1,000 married persons",7.3
Ontario,Females,20 to 24 years,Number of divorces,Number,1050.0
Ontario,Females,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",22.0
Ontario,Females,25 to 29 years,Number of divorces,Number,3336.0
Ontario,Females,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",20.1
Ontario,Females,30 to 34 years,Number of divorces,Number,4677.0
Ontario,Females,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",16.6
Ontario,Females,35 to 39 years,Number of divorces,Number,5139.0
Ontario,Females,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",15.2
Ontario,Females,40 to 44 years,Number of divorces,Number,5472.0
Ontario,Females,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",13.9
Ontario,Females,45 to 49 years,Number of divorces,Number,4197.0
Ontario,Females,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",11.6
Ontario,Females,50 to 54 years,Number of divorces,Number,2589.0
Ontario,Females,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",8.2
Ontario,Females,55 to 59 years,Number of divorces,Number,1515.0
Ontario,Females,55 to 59 years,Divorce rate,"Rate per 1,000 married persons",5.5
Ontario,Females,60 to 64 years,Number of divorces,Number,564.0
Ontario,Females,60 to 64 years,Divorce rate,"Rate per 1,000 married persons",2.8
Ontario,Females,65 years and over,Number of divorces,Number,399.0
Ontario,Females,65 years and over,Divorce rate,"Rate per 1,000 married persons",1.0
Ontario,Both sexes,All ages,Number of divorces,Number,64131.0
Ontario,Both sexes,All ages,Divorce rate,"Rate per 1,000 married persons",11.3
Ontario,Both sexes,Under 20 years,Number of divorces,Number,21.0
Ontario,Both sexes,Under 20 years,Divorce rate,"Rate per 1,000 married persons",9.1
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1761.0
Ontario,Both sexes,20 to 24 years,Divorce rate,"Rate per 1,000 married persons",27.5
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,6111.0
Ontario,Both sexes,25 to 29 years,Divorce rate,"Rate per 1,000 married persons",22.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,9411.0
Ontario,Both sexes,30 to 34 years,Divorce rate,"Rate per 1,000 married persons",18.5
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,11001.0
Ontario,Both sexes,35 to 39 years,Divorce rate,"Rate per 1,000 married persons",17.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,11982.0
Ontario,Both sexes,40 to 44 years,Divorce rate,"Rate per 1,000 married persons",15.6
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,10086.0
Ontario,Both sexes,45 to 49 years,Divorce rate,"Rate per 1,000 married persons",13.6
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,6717.0
Ontario,Both sexes,50 to 54 years,Divorce rate,"Rate per 1,000 married persons",10.3
